Date,Open,High,Low,Close,Volume
2019-06-07,12.66,13.18,12.34,12.93,5717200
2019-06-10,13.02,13.1056,12.68,12.69,1966400
2019-06-11,12.77,12.886,12.35,12.48,1700300
2019-06-12,12.51,12.7858,12.36,12.56,1350100
2019-06-13,12.6,12.86,12.505,12.74,1225900
2019-06-14,12.71,12.85,12.27,12.36,1418400
2019-06-17,12.45,13.185,12.37,13.05,3092800
2019-06-18,13.19,13.47,12.96,13.24,1702900
2019-06-19,13.32,13.43,13.07,13.24,1283300
2019-06-20,13.39,13.68,13.24,13.29,1847000
2019-06-21,13.3,13.32,12.72,13.12,3488000
2019-06-24,13.09,13.305,12.79,12.8,2091700
2019-06-25,12.86,13.19,12.8,13,2740400
2019-06-26,13.04,13.41,13.04,13.28,2567700
2019-06-27,13.48,13.89,13.35,13.85,1988200
2019-06-28,13.86,14.05,13.6775,13.87,5503500
2019-07-01,14.27,14.31,13.99,14.05,1457100
2019-07-02,14,14.21,13.79,14.19,1926500
2019-07-03,14.3,14.94,14.07,14.93,2029300
2019-07-05,14.78,14.8,14.085,14.15,2072700
2019-07-08,14.14,14.32,13.9,14,1405800
2019-07-09,14,14.24,13.85,14,1865300
2019-07-10,14.07,14.25,13.78,14.02,1281000
2019-07-11,14.17,14.295,13.73,14.15,1518100
2019-07-12,14.21,14.68,13.97,14.67,1171400
2019-07-15,14.67,14.76,14.11,14.22,1643500
2019-07-16,14.31,14.56,14.04,14.47,1653900
2019-07-17,14.5,15,14.43,14.99,1340300
2019-07-18,14.9,15.41,14.66,15.3,1694700
2019-07-19,15.27,15.42,14.83,14.93,2089400
2019-07-22,14.99,15.55,14.84,15.49,1413800
2019-07-23,15.56,15.63,15.24,15.29,1416400
2019-07-24,15.25,15.28,14.7665,15.06,2147500
2019-07-25,15.07,15.14,14.86,14.93,1485900
2019-07-26,15.03,15.29,14.965,15.28,1255100
2019-07-29,15.25,15.42,15.06,15.35,1138400
2019-07-30,15.22,15.34,14.9,15.32,1467000
2019-07-31,15.2,15.49,14.67,14.75,1902000
2019-08-01,14.73,15.1301,14.4,14.45,1499300
2019-08-02,14.39,14.4431,13.71,13.82,1907500
2019-08-05,13.55,13.745,13.31,13.61,2105700
2019-08-06,13.87,14.83,13.63,14.78,2706400
2019-08-07,14.54,15.17,14.4,14.8,1696600
2019-08-08,14.66,16.05,14.39,15.57,2025000
2019-08-09,15.58,15.75,15,15.07,1716100
2019-08-12,14.93,15.46,14.6701,15.35,1528400
2019-08-13,15.29,15.81,15.14,15.3,1341300
2019-08-14,15,15.3,14.77,14.9,1531800
2019-08-15,14.94,14.96,14.33,14.37,1677400
2019-08-16,14.43,15.005,14.25,14.94,1901700
2019-08-19,15.12,15.2,14.82,14.84,1028400
2019-08-20,14.95,14.96,13.995,14.04,2512900
2019-08-21,14.05,14.25,13.83,13.93,1823900
2019-08-22,13.99,14.205,13.61,13.62,1415700
2019-08-23,13.6,13.755,13.08,13.16,2129500
2019-08-26,13.45,13.56,12.88,13.05,2198600
2019-08-27,13.21,13.3,12.47,12.83,2210800
2019-08-28,12.72,13.219,12.6,13.01,1528000
2019-08-29,13.13,13.19,12.84,13.16,1980000
2019-08-30,13.26,13.375,12.725,12.8,1450400
2019-09-03,12.66,12.915,12.42,12.59,2254300
2019-09-04,12.75,13.52,12.73,13.47,2116100
2019-09-05,13.64,13.85,13.1917,13.53,2199000
2019-09-06,13.57,13.74,13.18,13.19,1135500
2019-09-09,13.24,13.47,13.05,13.28,1055900
2019-09-10,13.44,15.64,13.32,15.59,6540000
2019-09-11,15.4,16.7,15.33,16.54,4650500
2019-09-12,16.82,16.82,15.58,15.72,3427600
2019-09-13,15.77,16.875,15.73,16.72,2486500
2019-09-16,16.72,17.55,16.55,17.32,2574800
2019-09-17,17.25,17.45,16.92,17.44,1684400
2019-09-18,17.47,17.506,16.74,16.91,1298900
2019-09-19,16.81,17.43,16.68,17.05,2137700
2019-09-20,17.01,17.25,16.06,16.59,6222300
2019-09-23,16.52,17.2351,16.5,16.93,1272600
2019-09-24,16.95,17.05,15.6,15.81,2334800
2019-09-25,15.81,16.25,15.18,15.23,2451600
2019-09-26,15.23,15.355,14.19,14.35,2965400
2019-09-27,14.31,14.96,14.08,14.32,2051800
2019-09-30,13.33,13.39,12.05,13.26,8367700
2019-10-01,13.21,13.6,12.48,12.62,2691400
2019-10-02,12.51,13.63,12.43,13.54,4599600
2019-10-03,13.54,14.6642,13.49,14.14,3380500
2019-10-04,14.56,14.62,13.74,14.37,2734700
2019-10-07,14.47,14.905,14.17,14.87,1967900
2019-10-08,14.57,14.82,14.24,14.27,2038200
2019-10-09,14.4,14.4,13.53,13.76,1905600
2019-10-10,13.74,14.11,13.71,13.99,1480300
2019-10-11,14.25,14.63,13.94,14.17,3057300
2019-10-14,14.15,14.45,13.93,14.06,1191300
2019-10-15,14.08,14.605,14.03,14.39,1915100
2019-10-16,14.44,15.44,14.44,15.3,1715300
2019-10-17,15.29,15.98,15.26,15.86,1435500
2019-10-18,15.74,15.86,14.86,15.44,1841300
2019-10-21,15.56,15.95,15.46,15.82,1129800
2019-10-22,15.91,16.525,15.85,16.09,1943500
2019-10-23,16.02,16.3,15.85,16.03,1029500
2019-10-24,16.15,16.54,15.91,16.38,1095100
2019-10-25,16.2,16.53,15.87,16.2,1028900
2019-10-28,16.23,16.6374,15.93,15.99,2477700
2019-10-29,15.99,16.09,15.6,15.84,2271000
2019-10-30,15.83,16.0129,15.5601,15.82,1367100
2019-10-31,15.43,16.22,15.33,16,1799700
2019-11-01,15.99,17.37,15.9,17.17,2111100
2019-11-04,17.35,17.745,17.21,17.25,2125500
2019-11-05,17.33,17.86,17.2,17.74,1767200
2019-11-06,17.88,17.88,17.11,17.18,2031300
2019-11-07,17.52,17.75,17,17.14,1957000
2019-11-08,17.11,17.72,17,17.46,1586700
2019-11-11,17.4,17.45,17.07,17.2,1087600
2019-11-12,17.2,17.6,17,17.4,964600
2019-11-13,17.33,17.64,17.07,17.34,1031800
2019-11-14,17.24,17.49,17.06,17.3,1320500
2019-11-15,17.46,17.82,17.21,17.54,1524900
2019-11-18,17.51,17.85,17.22,17.8,1768600
2019-11-19,17.85,18.93,17.76,18.74,1773900
2019-11-20,18.6,19.52,18.52,18.83,3456100
2019-11-21,18.99,19.01,18.24,18.4,1454600
2019-11-22,18.5,18.635,18.14,18.56,995300
2019-11-25,18.81,19.13,18.61,18.72,1604400
2019-11-26,18.73,19.08,18.4701,18.8,1677300
2019-11-27,18.93,19.15,18.82,18.99,1226100
2019-11-29,18.88,19.37,18.73,18.78,1349300
2019-12-02,18.88,18.969,18.41,18.75,1781000
2019-12-03,18.5,19.155,18.12,19,2601800
2019-12-04,17.9,18.4,17.22,18.01,6173300
2019-12-05,18,18.65,17.6,18.5,8065600
2019-12-06,18.75,20.92,18.67,20.59,5502200
2019-12-09,20.75,21.17,20.6067,20.88,2475600
2019-12-10,21.49,21.49,20.36,21,4074800
2019-12-11,20.9,21.5,20.64,20.73,2430700
2019-12-12,20.66,21.37,20.36,20.73,2905700
2019-12-13,20.7,21.3714,20.62,20.67,1615800
2019-12-16,20.79,20.99,19.66,19.72,3970600
2019-12-17,19.95,20.6,19.75,20.545,2971100
2019-12-18,20.63,20.66,19.9,20.14,1519700
2019-12-19,20.25,20.38,19.86,20,1754800
2019-12-20,20.25,20.5,19.97,20.01,3597700
2019-12-23,20.15,20.31,19.61,20.03,1766900
2019-12-24,20.12,20.51,19.78,20.5,734700
2019-12-26,20.96,22.2206,20.75,21.67,5388300
2019-12-27,21.94,22.09,21.31,21.77,3005400
2019-12-30,21.81,21.93,20.84,21.3,3570900
2019-12-31,21.19,21.53,21.12,21.16,1538100
2020-01-02,21.26,21.32,20.22,20.36,3054900
2020-01-03,20.09,20.245,19.5612,19.785,2178900
2020-01-06,19.56,19.99,19.07,19.92,1767400
2020-01-07,19.95,20.08,19.48,19.93,1078800
2020-01-08,19.92,20.51,19.83,20.36,1250400
2020-01-09,20.55,20.71,19.88,20.07,1391400
2020-01-10,20.14,20.54,19.48,19.59,2336300
2020-01-13,19.47,19.55,17.66,19.295,4772300
2020-01-14,19.24,20.17,19.04,20.03,1433700
