Date,Open,High,Low,Close,Volume
2017-04-06,4.18,4.21,4.13,4.17,20931
2017-04-07,4.15,4.19,4.09,4.19,24845
2017-04-10,4.09,4.16,4.08,4.10,36077
2017-04-11,4.10,4.10,4.06,4.07,35990
2017-04-12,4.18,4.21,4.07,4.10,39167
2017-04-13,4.10,4.16,4.08,4.13,19171
2017-04-17,4.10,4.18,4.07,4.09,27704
2017-04-18,4.07,4.14,4.07,4.11,21844
2017-04-19,4.14,4.18,4.12,4.12,9824
2017-04-20,4.11,4.17,4.10,4.12,23608
2017-04-21,4.11,4.17,4.11,4.16,7194
2017-04-24,4.13,4.23,4.13,4.16,12033
2017-04-25,4.15,4.19,4.06,4.13,23851
2017-04-26,4.13,4.17,4.07,4.17,7160
2017-04-27,4.18,4.30,4.15,4.19,52818
2017-04-28,4.24,4.25,4.05,4.18,76834
2017-05-01,4.21,4.25,4.14,4.23,9229
2017-05-02,4.25,4.30,4.24,4.27,15873
2017-05-03,4.21,4.27,4.19,4.19,223
2017-05-04,4.19,4.27,4.19,4.21,161
2017-05-05,4.18,4.27,4.17,4.20,19523
2017-05-08,4.25,4.28,4.22,4.25,50331
2017-05-09,4.25,4.29,4.22,4.23,38864
2017-05-10,4.26,4.30,4.20,4.25,67881
2017-05-11,4.20,4.26,4.12,4.18,62461
2017-05-12,4.15,4.24,4.00,4.00,245594
2017-05-15,3.98,4.15,3.74,3.83,187829
2017-05-16,3.80,3.85,3.67,3.67,153731
2017-05-17,3.65,3.98,3.59,3.90,75718
2017-05-18,3.87,3.99,3.80,3.93,28813
2017-05-19,3.96,4.00,3.93,3.98,16975
2017-05-22,3.90,3.97,3.89,3.96,10695
2017-05-23,3.94,4.09,3.92,4.05,17547
2017-05-24,4.01,4.05,3.92,3.92,23648
2017-05-25,3.90,3.98,3.90,3.94,27854
2017-05-26,3.91,3.93,3.84,3.93,30547
2017-05-30,3.88,3.95,3.80,3.94,38438
